Year,Month,ADBE,AMZN,AAPL,BBBY,CSCO,CMCSA,COST,DELL,DLTR,EXPE,GRMN,GOOG,INTC,MAT,MSFT,NFLX,ORCL,RIMM,SNDK,SIRI,SPLS,SBUX,WFM,WYNN,YHOO
2009,October,0.06497,0.14393,0.06053,0.06106,0.02596,0.01104,0.05374,-0.0225,0.08511,0.12407,0.01117,0.08744,0.01223,0.0676,0.06518,0.09691,0.04634,-0.0143,-0.03711,0.06897,0.07485,0.15347,-0.19994,0.26412,-0.05849
2009,November,0.04846,-0.01023,0.05415,0.03346,0.02308,0.15066,-0.01224,0.01655,-0.01348,0.00963,0.02781,0.06343,0.06272,0.02681,0.03664,-0.06038,0.11096,0.1667,0.47008,-0.04839,0.05757,0.05293,0.07025,-0.09782,0.12091
2009,December,-0.12181,-0.06772,-0.08862,0.00233,-0.06117,-0.05629,-0.02948,-0.1012,0.02547,-0.16794,0.05226,-0.14523,-0.04873,-0.01333,-0.07565,0.12997,-0.05791,-0.06855,-0.12315,0.38983,-0.04565,-0.0548,-0.00868,0.06275,-0.10548
2010,January,0.07276,-0.0559,0.0654,0.07519,0.08272,0.03887,0.065,0.02598,0.12538,0.03899,-0.01127,-0.00593,0.06659,0.11543,0.02218,0.06104,0.06904,0.12669,0.14673,0.21951,0.09798,0.05127,0.30403,0.02731,0.01999
2010,February,0.02078,0.14671,0.14846,0.05167,0.07,0.14516,-0.02071,0.13431,0.06243,0.1233,0.20912,0.07654,0.08538,0.03382,0.0217,0.11643,0.04292,0.04359,0.18799,-0.15,-0.08798,0.05925,0.01868,0.19277,0.07969
2010,March,-0.05004,0.0098,0.11102,0.05027,0.0343,0.05521,-0.01057,0.07848,0.02533,-0.05362,0.00796,-0.07304,0.02507,0.01221,0.04248,0.3412,0.00799,-0.03758,0.15045,0.36471,0.00551,0.07487,0.07935,0.16374,0
2010,April,-0.04524,-0.0849,-0.01611,-0.02372,-0.13999,-0.08489,-0.01069,-0.17691,0.03063,-0.08395,-0.10172,-0.07622,-0.05564,-0.05885,-0.15139,0.12386,-0.12763,-0.14749,0.17018,-0.12931,-0.08543,-0.0032,0.03609,-0.04634,-0.07199
2010,May,-0.17612,-0.12912,-0.02082,-0.17361,-0.07982,-0.03967,-0.05875,-0.09527,-0.00192,-0.12889,-0.13082,-0.08377,-0.09192,-0.02307,-0.10803,-0.02249,-0.04907,-0.18833,-0.0976,-0.07921,-0.11139,-0.06145,-0.10912,-0.09068,-0.09778
2010,June,0.08664,0.07899,0.02274,0.02157,0.08236,0.12697,0.03423,0.09773,0.06436,0.20781,-0.02321,0.08967,0.05872,0,0.12158,-0.05614,0.10416,0.16788,0.03874,0.08602,0.06745,0.02268,0.05405,0.14959,0.00289
2010,July,-0.03552,0.05887,-0.05502,-0.05042,-0.13327,-0.12183,0,-0.11128,0.02166,0.01077,-0.06669,-0.07184,-0.13576,-0.00787,-0.08564,0.22399,-0.07572,-0.25535,-0.24188,-0.06931,-0.12586,-0.07071,-0.08374,-0.07827,-0.05548
2010,August,-0.05596,0.25819,0.16721,0.20684,0.09558,0.05709,0.14152,0.10276,0.07686,0.23508,0.14086,0.16837,0.0868,0.1174,0.04344,0.29191,0.22846,0.13655,0.10625,0.25532,0.18253,0.11211,0.06669,0.07649,0.08085
2010,September,0.07648,0.05202,0.06073,0.01129,0.04362,0.1475,-0.02353,0.10963,0.0525,0.02539,0.08207,0.1672,0.04443,-0.00568,0.0889,0.07036,0.09642,0.16903,0.02674,0.24576,-0.01885,0.11781,0.07117,0.23494,0.16373
2010,October,-0.01243,0.06155,0.03379,-0.00364,-0.16174,-0.02885,0.07702,-0.08186,0.07093,-0.088,-0.11843,-0.09449,0.06354,0.10757,-0.04699,0.18626,-0.07925,0.08626,0.18522,-0.08163,0.07217,0.07606,0.18812,0.01822,-0.04063
2010,November,0.10719,0.02623,0.03667,0.12369,0.05583,0.0964,0.0681,0.02537,0.02038,-0.04693,0.07019,0.06885,-0.00608,0.01719,0.10489,-0.14667,0.15704,-0.05984,0.11794,0.18519,0.03874,0.04981,0.07127,0.02706,0.0512
2010,December,0.07375,-0.05756,0.05195,-0.0234,0.04569,0.03992,-0.00516,-0.02924,-0.09807,0.00277,-0.00494,0.01076,0.02038,-0.06886,-0.00643,0.21844,0.0248,0.01686,-0.09005,-0.00625,-0.02005,-0.0186,0.02416,0.12029,-0.03067
2011,January,0.04387,0.02152,0.04094,0.00312,-0.12273,0.13254,0.04395,0.20309,-0.00514,-0.21076,0.10099,0.02172,0.00899,0.0676,-0.03578,-0.03461,0.02738,0.11995,0.09323,0.1195,-0.0452,0.05031,0.13252,0.05679,0.01737
2011,February,-0.03884,0.03947,-0.01331,0.00249,-0.07275,-0.04036,-0.01973,-0.08344,0.10334,0.1447,-0.00257,-0.04343,-0.06037,-0.0051,-0.04501,0.15053,0.01611,-0.14592,-0.07077,-0.08989,-0.08371,0.12006,0.12531,0.03436,0.01707
2011,March,0.01176,0.08705,0.00466,0.16283,0.02173,0.06518,0.10334,0.06653,0.03566,0.10412,0.01097,-0.0727,0.14745,0.07176,0.02108,-0.02149,0.07746,-0.13955,0.0703,0.2037,0.08864,-0.02027,-0.04611,0.16125,0.06115
2011,April,0.03219,0.00449,-0.00657,-0.03991,-0.04135,-0.03711,0.02257,0.0394,0.10852,0.12251,-0.00447,-0.02772,-0.02019,-0.00319,-0.02874,0.16388,-0.0484,-0.11922,-0.03669,0.18462,-0.2043,0.02012,-0.02549,-0.00426,-0.06497
2011,May,-0.09183,0.03966,-0.03495,0.08313,-0.07086,0.00369,-0.01507,0.03664,0.04518,0.03498,-0.00705,-0.0428,-0.01546,0.04118,0.0396,-0.02995,-0.03837,-0.32672,-0.12668,-0.06926,-0.05461,0.07335,0.03914,-0.0204,-0.09124
2011,June,-0.11892,0.08817,0.16326,0.00206,0.02719,-0.04779,-0.03677,-0.0262,-0.0057,0.09307,-0.01227,0.19217,0.00761,-0.03034,0.05373,0.01256,-0.06898,-0.13345,0.02482,-0.03721,0.0166,0.01501,0.05131,0.07392,-0.12899
2011,July,-0.08914,-0.03276,-0.01447,-0.02787,-0.01872,-0.10425,0.00697,-0.08385,0.0785,-0.04116,0.02779,-0.10391,-0.08971,0.01703,-0.02283,-0.11647,-0.08206,0.2996,-0.13826,-0.14493,-0.0823,-0.03315,-0.01004,0.00681,0.03893
2011,August,-0.04239,0.00465,-0.00912,0.00791,-0.01118,-0.02778,0.04566,-0.04918,0.05179,-0.15035,-0.04103,-0.04791,0.06017,-0.03621,-0.06464,-0.51802,0.02389,-0.37519,0.10123,-0.16384,-0.0911,-0.03429,-0.00952,-0.25619,-0.03233
2011,September,0.2168,-0.01258,0.06154,0.07904,0.20027,0.12709,0.01363,0.11782,0.06415,0.01978,0.08226,0.15067,0.1502,0.09051,0.06994,-0.27536,0.14245,-0.00493,0.25545,0.18919,0.12451,0.13576,0.10427,0.15813,0.18755
2011,October,-0.06766,-0.09939,-0.05578,-0.02151,0.0061,-0.03322,0.02754,-0.00321,0.01901,0.06212,0.06405,0.01139,0.02382,0.0289,-0.03191,-0.21382,-0.04332,-0.11584,-0.02684,0.00568,-0.03691,0.03054,-0.05577,-0.05334,0.00448
